Last name of the artist;First name of the artist;Sex of the artist (F/M/FM/empty);Membership in movement, if applicable;Biographical elements;Detailed address of the artist, as it appears in the catalogue;Country of the artist;State of the artist;City of the artist;Street number of the artist's address;Street name of the artist's address;Floor level of the artist's address;Local address of the artist;Additional information on the artist's address;Address as it appears in the catalogue;Country of the artist 2;State of the artist 2;City of the artist 2;Street number of the artist's address 2;Street name of the artist's address 2;Floor level of the artist's address 2;Local address of the artist 2;Additional information on the artist's address 2;Artist's nationality;Student of;Birth year;Month of birth;Day of birth;Detailed birth address of the artist, as it appears in the catalogue;Country of birth;State of birth;City of birth;Street number of the birth address;Street name of the birth address;Floor level of the birth address;Local address of birth;Additional information on the birth address;Year of death;Month of death;Day of death;Detailed death address of the artist, as it appears in the catalogue;Country of death;State of death;City of death;Street number of the death address;Street name of the death address;Floor level of the death address;Local address of death;Additional information on the death address;Notes;Number;Title of artwork;Subtitle;Translated title;Start year of creation;Start month of creation;Start day of creation;End year of creation;End month of creation;End day of creation;Country of creation;State of creation;City of creation;Dimensions;Categories;Medium;Room;Chapter of the catalogue ?;Price;Location/Owner;Owner's country;Owner's state;Owner's city;Notes
AUBIN, Paul; ; ; ;né à La Mothe-Saint-Heraye (Deux -6, rue Boissonnade. Paris; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;30;Miramas-le-Vieux, Provence;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
AUBIN, Paul; ; ; ;né à La Mothe-Saint-Heraye (Deux -6, rue Boissonnade. Paris; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;31;Le quartier des pêcheurs à Martigues, Provence;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
AUTHIER (Mlle), Henriette; ; ; ;néé à Moulins (Allier). - Rue de l'Oiseau, 7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;32;Vaches au pâturage;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
AUTHIER (Mlle), Henriette; ; ; ;néé à Moulins (Allier). - Rue de l'Oiseau, 7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;33;Calendrier de Flore. Mai. Lilas, pivoines;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
AUTHIER (Mlle), Henriette; ; ; ;néé à Moulins (Allier). - Rue de l'Oiseau, 7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;34;Visiteur matinal. Effet de neige;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
AUTHIER (Mlle), Henriette; ; ; ;néé à Moulins (Allier). - Rue de l'Oiseau, 7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;35;La paresseuse, paysanne bourbonnaise et sa grand'mère;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
BARABANDY, Richard; ; ; ;né à Milan. -56, avenue de Clichy (Paris; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;36;Paris dans la rue;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
BARABANDY, Richard; ; ; ;né à Milan. -56, avenue de Clichy (Paris; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;37;Paris dans la rue;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
BARABANDY, Richard; ; ; ;né à Milan. -56, avenue de Clichy (Paris; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;38;Paris dans la rue;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
BELLANGER, Auguste; ; ; ;né à Villette (Seine-et-Oise). - 1, rue Leclerc (Paris; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;39;L'ami G. par 30 degrés de chaleur;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
BELLANGER, Auguste; ; ; ;né à Villette (Seine-et-Oise). - 1, rue Leclerc (Paris; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;40;La place de l'église au soleil;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
BELLANGER, Auguste; ; ; ;né à Villette (Seine-et-Oise). - 1, rue Leclerc (Paris; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;41;La plage d'Erquy;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
BELLANGER, Auguste; ; ; ;né à Villette (Seine-et-Oise). - 1, rue Leclerc (Paris; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;42;Portrait de Mme M. de B;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
BELLANGER, Auguste; ; ; ;né à Villette (Seine-et-Oise). - 1, rue Leclerc (Paris; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;43;Portrait de Mlle Henriette G;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
BELLANGER, Auguste; ; ; ;né à Villette (Seine-et-Oise). - 1, rue Leclerc (Paris; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;44;Le port de Piriac;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
BELLANGER, Auguste; ; ; ;né à Villette (Seine-et-Oise). - 1, rue Leclerc (Paris; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;45;Coin de rochers;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
BELLANGER, Auguste; ; ; ;né à Villette (Seine-et-Oise). - 1, rue Leclerc (Paris; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;46;Le chemin du cimetière;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
BELLANGER, Auguste; ; ; ;né à Villette (Seine-et-Oise). - 1, rue Leclerc (Paris; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;47;La mauvaise nouvelle. Erquy (Côtes Nord;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
BELLANGER, Auguste; ; ; ;né à Villette (Seine-et-Oise). - 1, rue Leclerc (Paris; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;48;En revenant de la pêche. Erquy (Côtes Nord);; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
BENOIST, Théophile-Maximilien; ; ; ;né à Paris. -44, passage des Thermopyles; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;49;Nature morte;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
BENOIST, Théophile-Maximilien; ; ; ;né à Paris. -44, passage des Thermopyles; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;50;Fleurs;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
BENOIST, Théophile-Maximilien; ; ; ;né à Paris. -44, passage des Thermopyles; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;51;Étang à Lozère, près Orsay;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
BENOIST, Théophile-Maximilien; ; ; ;né à Paris. -44, passage des Thermopyles; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;52;Fleurs;Aquarelle; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
BENOIST, Théophile-Maximilien; ; ; ;né à Paris. -44, passage des Thermopyles; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;53;Fleurs;Aquarelle; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
BERCIOUX, Jean-Charles; ; ; ;né à Paris. -5 bis, rue Cler; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;54;Raisins d'Espagne;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
BERCIOUX, Jean-Charles; ; ; ;né à Paris. -5 bis, rue Cler; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;55;Roses trémières;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
BERCIOUX, Jean-Charles; ; ; ;né à Paris. -5 bis, rue Cler; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;56;Étang près Montfort;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
BERCIOUX, Jean-Charles; ; ; ;né à Paris. -5 bis, rue Cler; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;57;Forêt de Rambouillet;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
BERCIOUX, Jean-Charles; ; ; ;né à Paris. -5 bis, rue Cler; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;58;Oiseaux;Nature morte; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
BERCIOUX, Jean-Charles; ; ; ;né à Paris. -5 bis, rue Cler; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;59;Fauteuil, livres, etc;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
BERCIOUX, Jean-Charles; ; ; ;né à Paris. -5 bis, rue Cler; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60;Roses trémières;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
BERNARD, Lucien Saint-Fargeau Eugène; ; ; ;né à Paris. - 28, rue du Lycée, à Sceaux (Seine; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;61;Le printemps;Panneau décoratif; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
BERNARD, Lucien Saint-Fargeau Eugène; ; ; ;né à Paris. - 28, rue du Lycée, à Sceaux (Seine; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;62;L'automne;Panneau décoratif; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
BERRIA-BLANC (Mme), Béatrice; ; ; ;née à Gènes. -7, villa Michel-Ange (Auteuil; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;63;Asiatiques et Européens. Pochades;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
BERRIA-BLANC (Mme), Béatrice; ; ; ;née à Gènes. -7, villa Michel-Ange (Auteuil; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;64;Un jour de spleen;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
BERRIA-BLANC (Mme), Béatrice; ; ; ;née à Gènes. -7, villa Michel-Ange (Auteuil; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;65;Dans l'ombre;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
BERRIA-BLANC (Mme), Béatrice; ; ; ;née à Gènes. -7, villa Michel-Ange (Auteuil; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;66;Étude;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
BERRIA-BLANC (Mme), Béatrice; ; ; ;née à Gènes. -7, villa Michel-Ange (Auteuil; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;67;Cosè fan tutte, ou l'armoire au pillage;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
